person_slug,person_name,start_date,end_date,start_reason,end_reason,election_id,election,confirmed,source
andrew-grierson-i,Andrew Grierson (i),1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
arthur-edmondston,Arthur Edmondston,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
george-linklater,George Linklater,1818-04-02,1818-07-05,elected,died,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-gauden,Gilbert Gauden,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-greig,James Greig,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-mouat-i,James Mouat (i),1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-scott,James Scott,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-morrison-i,John Morrison (i),1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
robert-deans,Robert Deans,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-angus,William Angus,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
arthur-edmondston,Arthur Edmondston,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
balfour-spence,Balfour Spence,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-duncan,Gilbert Duncan,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-gauden,Gilbert Gauden,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-mouat-i,James Mouat (i),1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-ogilvy,James Ogilvy,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-pottinger-i,James Pottinger (i),1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-hughson,John Hughson,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
thomas-nicolson,Thomas Nicolson,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-angus,William Angus,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
balfour-spence,Balfour Spence,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
charles-ogilvy-i,Charles Ogilvy (i),1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-duncan,Gilbert Duncan,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-gauden,Gilbert Gauden,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-paterson,Gilbert Paterson,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-greig,James Greig,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-ogilvy,James Ogilvy,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
robert-deans,Robert Deans,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-angus,William Angus,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-hay,William Hay,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-spence,William Spence,1823-09-04,1826-09-07,elected,term_expired,3,Lerwick Town Council Election September 1823,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
alexander-irvine,Alexander Irvine,1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
andrew-grierson-i,Andrew Grierson (i),1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
charles-ogilvy-i,Charles Ogilvy (i),1826-09-07,1827-02-13,elected,died,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
charles-ogilvy-ii,Charles Ogilvy (ii),1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-duncan,Gilbert Duncan,1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-paterson,Gilbert Paterson,1826-09-07,1828-04-05,elected,died,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-greig,James Greig,1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-mouat-i,James Mouat (i),1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
robert-deans,Robert Deans,1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-hay,William Hay,1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-spence,William Spence,1826-09-07,1829-09-03,elected,term_expired,4,Lerwick Town Council Election September 1826,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
alexander-irvine,Alexander Irvine,1829-09-03,1830-03-03,elected,died,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
andrew-duncan-ii,Andrew Duncan (ii),1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,"LTC minute book p47; Sheriff's son, not the Sheriff (corrections-from-minute-book.md)"
charles-ogilvy-ii,Charles Ogilvy (ii),1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-robertson,Gilbert Robertson,1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-greig,James Greig,1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-pottinger-i,James Pottinger (i),1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-ogilvy,John Ogilvy,1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-clark-i,William Clark (i),1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-spence,William Spence,1829-09-03,1832-09-06,elected,term_expired,5,Lerwick Town Council Election September 1829,1,Confirmed Apr 2026 composition research (per-row source not recorded)
magnus-burns,Magnus Burns,1830-04-21,1832-09-06,by-election,term_expired,1274,Lerwick Town Council By-Election April 1830,1,LTC minute book p53-54: elected 21 Apr 1830 in place of the late Mr Irvine
charles-ogilvy-ii,Charles Ogilvy (ii),1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-duncan,Gilbert Duncan,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-robertson,Gilbert Robertson,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
isaac-cowie,Isaac Cowie,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-greig,James Greig,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-yorston,James Yorston,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-ogilvy,John Ogilvy,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-clark-i,William Clark (i),1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-spence,William Spence,1832-09-06,1835-09-03,elected,term_expired,6,Lerwick Town Council Election September 1832,1,Confirmed Apr 2026 composition research (per-row source not recorded)
charles-ogilvy-ii,Charles Ogilvy (ii),1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
david-leask,David Leask,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-duncan,Gilbert Duncan,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-hunter-i,James Hunter (i),1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-yorston,James Yorston,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
joseph-leask,Joseph Leask,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-clark-i,William Clark (i),1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-copland,William Copland,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1835-09-03,1838-09-06,elected,term_expired,7,Lerwick Town Council Election September 1835,1,Confirmed Apr 2026 composition research (per-row source not recorded)
charles-ogilvy-ii,Charles Ogilvy (ii),1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
david-leask,David Leask,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
david-nicolson,David Nicolson,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-duncan,Gilbert Duncan,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-hunter-i,James Hunter (i),1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
joseph-leask,Joseph Leask,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
robert-goudie,Robert Goudie,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-clark-i,William Clark (i),1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1838-09-06,1841-09-02,elected,term_expired,8,Lerwick Town Council Election September 1838,1,Confirmed Apr 2026 composition research (per-row source not recorded)
charles-ogilvy-ii,Charles Ogilvy (ii),1841-09-02,1844-06-05,elected,died,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded)
david-nicolson,David Nicolson,1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-duncan,Gilbert Duncan,1841-09-02,1844-02-19,elected,died,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-hunter-i,James Hunter (i),1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-mouat-ii,James Mouat (ii),1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
joseph-leask,Joseph Leask,1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
robert-goudie,Robert Goudie,1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-clark-i,William Clark (i),1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-hay,William Hay,1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-sievwright-i,William Sievwright (i),1841-09-02,1844-09-05,elected,term_expired,9,Lerwick Town Council Election September 1841,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
alexander-nicol,Alexander Nicol,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
archibald-greig,Archibald Greig,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
david-burns,David Burns,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
david-nicolson,David Nicolson,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
gilbert-tait,Gilbert Tait,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-hunter-i,James Hunter (i),1844-09-05,1847-08-02,elected,died,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
james-mouat-ii,James Mouat (ii),1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
joseph-leask,Joseph Leask,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
ross-smith,Ross Smith,1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
william-sievwright-i,William Sievwright (i),1844-09-05,1847-09-02,elected,term_expired,11,Lerwick Town Council Election September 1844,1,Confirmed Apr 2026 composition research (per-row source not recorded); election date corrected from LTC minute book
alexander-nicol,Alexander Nicol,1847-09-02,1848-03-22,elected,died,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
archibald-greig,Archibald Greig,1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
david-burns,David Burns,1847-09-02,1848-03-29,elected,died,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
david-nicolson,David Nicolson,1847-09-02,1849-06-04,elected,died,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-mouat-ii,James Mouat (ii),1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-cowie,John Cowie,1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
joseph-leask,Joseph Leask,1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
robert-goudie,Robert Goudie,1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
ross-smith,Ross Smith,1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1847-09-02,1850-09-06,elected,term_expired,12,Lerwick Town Council Election September 1847,1,Confirmed Apr 2026 composition research (per-row source not recorded)
archibald-greig,Archibald Greig,1850-09-06,1852-10-11,elected,died,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
charles-duncan,Charles Duncan,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-mouat-ii,James Mouat (ii),1850-09-06,1853-02-28,elected,died,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-cowie,John Cowie,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-robertson-i,John Robertson (i),1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
peter-williamson,Peter Williamson,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
robert-hicks,Robert Hicks,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
samuel-hunter,Samuel Hunter,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
thomas-gilbertson,Thomas Gilbertson,1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1850-09-06,1853-09-01,elected,term_expired,13,Lerwick Town Council Election September 1850,1,Confirmed Apr 2026 composition research (per-row source not recorded)
charles-duncan,Charles Duncan,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
george-laurence,George Laurence,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-cowie,John Cowie,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-robertson-i,John Robertson (i),1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
laurence-laurenson-i,Laurence Laurenson (i),1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
peter-williamson,Peter Williamson,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
robert-linklater,Robert Linklater,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
samuel-hunter,Samuel Hunter,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-merrylees,William Merrylees,1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-sievwright-i,William Sievwright (i),1853-09-01,1856-09-04,elected,term_expired,14,Lerwick Town Council Election September 1853,1,Confirmed Apr 2026 composition research (per-row source not recorded)
charles-duncan,Charles Duncan,1856-09-04,1859-09-01,elected,term_expired,15,Lerwick Town Council Election September 1856,1,Confirmed Apr 2026 composition research (per-row source not recorded)
george-hay,George Hay,1856-09-04,1859-09-01,elected,term_expired,15,Lerwick Town Council Election September 1856,1,Confirmed Apr 2026 composition research (per-row source not recorded)
george-tait,George Tait,1856-09-04,1859-09-01,elected,term_expired,15,Lerwick Town Council Election September 1856,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-tait,Gilbert Tait,1856-09-04,1859-09-01,elected,term_expired,15,Lerwick Town Council Election September 1856,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-cowie,John Cowie,1856-09-04,1859-09-01,elected,term_expired,15,Lerwick Town Council Election September 1856,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-robertson-i,John Robertson (i),1856-09-04,1859-09-01,elected,term_expired,15,Lerwick Town Council Election September 1856,1,Confirmed Apr 2026 composition research (per-row source not recorded)
